City,Lockdown,Call Type Group,Call Type,Neighborhood
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Outer Richmond
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Excelsior
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Outer Richmond
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Alarm,Other,Castro/Upper Market
San Francisco,Pre-Lockdown,Alarm,Alarms,Castro/Upper Market
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Bayview Hunters Point
San Francisco,Lockdown,Alarm,Outside Fire,Financial District/South Beach
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Mission
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Russian Hill
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Mission Bay
San Francisco,Pre-Lockdown,Alarm,Structure Fire,Sunset/Parkside
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Inner Sunset
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Mission
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Pacific Heights
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Excelsior
San Francisco,Lockdown,Alarm,Structure Fire,Marina
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Mission
San Francisco,Pre-Lockdown,Non Life-threatening,Traffic Collision,Inner Sunset
San Francisco,Pre-Lockdown,Fire,Outside Fire,Mission
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Bayview Hunters Point
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Inner Richmond
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Bayview Hunters Point
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,West of Twin Peaks
San Francisco,Lockdown,Alarm,Alarms,Potrero Hill
San Francisco,Lockdown,Non Life-threatening,Traffic Collision,Bayview Hunters Point
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Hayes Valley
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Haight Ashbury
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Outer Richmond
San Francisco,Lockdown,Alarm,Alarms,Bayview Hunters Point
San Francisco,Pre-Lockdown,Alarm,Structure Fire,Castro/Upper Market
San Francisco,Pre-Lockdown,Alarm,Alarms,Tenderloin
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,North Beach
San Francisco,Lockdown,Non Life-threatening,Traffic Collision,Bernal Heights
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Haight Ashbury
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Traffic Collision,Bernal Heights
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Chinatown
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Sunset/Parkside
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission
San Francisco,Pre-Lockdown,Alarm,Structure Fire,Nob Hill
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Hayes Valley
San Francisco,Pre-Lockdown,Alarm,Alarms,Potrero Hill
San Francisco,Lockdown,Non Life-threatening,Medical Incident,South of Market
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Russian Hill
San Francisco,Pre-Lockdown,Alarm,Alarms,Inner Sunset
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Sunset/Parkside
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Twin Peaks
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission
San Francisco,Lockdown,Alarm,Alarms,Western Addition
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Financial District/South Beach
San Francisco,Lockdown,Alarm,Alarms,Potrero Hill
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Potrero Hill
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Outer Mission
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Hayes Valley
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Castro/Upper Market
San Francisco,Lockdown,Alarm,Structure Fire,Nob Hill
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Golden Gate Park
San Francisco,Pre-Lockdown,Alarm,Alarms,Financial District/South Beach
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,South of Market
San Francisco,Pre-Lockdown,Alarm,Structure Fire,Marina
San Francisco,Pre-Lockdown,Alarm,Alarms,Financial District/South Beach
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,South of Market
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Alarm,Alarms,Western Addition
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Tenderloin
San Francisco,Lockdown,Alarm,Alarms,Western Addition
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Financial District/South Beach
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Western Addition
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,West of Twin Peaks
San Francisco,Lockdown,Non Life-threatening,Traffic Collision,Mission
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,South of Market
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission Bay
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Chinatown
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Chinatown
San Francisco,Lockdown,Non Life-threatening,Other,Castro/Upper Market
San Francisco,Pre-Lockdown,Alarm,Alarms,South of Market
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Bayview Hunters Point
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,South of Market
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Non Life-threatening,Traffic Collision,Hayes Valley
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Financial District/South Beach
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Glen Park
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Nob Hill
San Francisco,Pre-Lockdown,Alarm,Structure Fire,Hayes Valley
San Francisco,Pre-Lockdown,Alarm,Alarms,Haight Ashbury
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Mission
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Lone Mountain/USF
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,North Beach
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Marina
San Francisco,Pre-Lockdown,Alarm,Alarms,Sunset/Parkside
San Francisco,Lockdown,Alarm,Structure Fire,Nob Hill
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Visitacion Valley
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission
San Francisco,Lockdown,Alarm,Alarms,Mission Bay
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,West of Twin Peaks
San Francisco,Lockdown,Non Life-threatening,Medical Incident,Financial District/South Beach
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,West of Twin Peaks
San Francisco,Lockdown,Alarm,Alarms,Sunset/Parkside
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Chinatown
San Francisco,Lockdown,Alarm,Alarms,Marina
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Mission
San Francisco,Pre-Lockdown,Alarm,Alarms,Lakeshore
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Bayview Hunters Point
San Francisco,Lockdown,Alarm,Alarms,Lakeshore
San Francisco,Pre-Lockdown,Alarm,Alarms,Nob Hill
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Sunset/Parkside
San Francisco,Pre-Lockdown,Alarm,Alarms,South of Market
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Potrero Hill
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,South of Market
San Francisco,Lockdown,Non Life-threatening,Other,Tenderloin
San Francisco,Pre-Lockdown,Non Life-threatening,Medical Incident,Financial District/South Beach
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Bayview Hunters Point
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,Tenderloin
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Inner Richmond
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Marina
San Francisco,Lockdown,Alarm,Alarms,North Beach
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Excelsior
San Francisco,Lockdown,Potentially Life-Threatening,Medical Incident,North Beach
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,South of Market
San Francisco,Pre-Lockdown,Potentially Life-Threatening,Medical Incident,Financial District/South Beach
